연도,구분,세분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2023,철도교통사고,충돌사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도교통사고,탈선사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도교통사고,열차화재사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도교통사고,위험물사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도교통사고,건널목사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도교통사고,철도교통사상사고(여객),0,0,0,0,0,0,0,0,0,0,0,0
2023,철도교통사고,철도교통사상사고(공중),0,0,0,0,0,0,0,0,0,0,0,0
2023,철도교통사고,철도교통사상사고(직원),0,0,0,0,0,0,0,0,0,0,0,0
2023,철도안전사고,철도화재사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도안전사고,철도시설파손사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도안전사고,철도안전사상사고(여객),0,0,0,0,0,0,0,0,0,0,0,0
2023,철도안전사고,철도안전사상사고(공중),0,0,0,0,0,0,0,0,0,0,0,0
2023,철도안전사고,철도안전사상사고(직원),0,0,0,0,0,0,0,0,0,0,0,0
2023,철도안전사고,기타안전사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,철도준사고,철도준사고,0,0,0,0,0,0,0,0,0,0,0,0
2023,운행장애피해현황,무정차통과,0,0,0,0,0,0,0,0,0,0,0,0
2023,운행장애피해현황,운행지연,0,0,0,0,0,1,0,0,0,0,0,0
2023,운행장애피해현황,인명피해(사망),0,0,0,0,0,0,0,0,0,0,0,0
2023,운행장애피해현황,인명피해(중상),0,0,0,0,0,0,0,0,0,0,0,0
2023,운행장애피해현황,인명피해(경상),0,0,0,0,0,0,0,0,0,0,0,0
2023,운행장애피해현황,재산피해(백만원),0,0,0,0,0,0,0,0,0,0,0,0
